# Start at 2020-03-10 10:20:36.008281
# EA  EB  tA  tB
# 
140.212 77.103 114.446 112.268
46.922 0.499 105.742 34.000
340.284 0.000 116.616 0.000
72.351 1.249 109.866 54.000
135.375 88.719 114.318 116.007
269.833 1.949 116.722 9.236
333.192 0.000 116.626 9.586
94.890 0.252 113.766 36.000
59.135 1.883 107.491 20.053
31.717 1.934 87.997 17.060
73.665 0.000 110.180 9.586
346.850 0.252 116.803 238.000
96.445 0.000 99.001 0.000
231.508 0.000 114.858 0.000
332.959 0.000 116.557 0.000
138.487 0.000 112.723 0.000
50.824 0.000 91.873 0.000
98.969 0.000 113.629 0.000
42.354 0.000 101.193 0.000
118.164 0.000 113.490 0.000
53.883 1.967 107.334 22.087
53.575 218.102 109.373 109.001
95.916 1.769 109.050 126.558
63.713 0.246 100.940 504.000
138.530 231.965 112.890 111.850
131.889 0.000 112.551 0.000
100.186 0.504 110.166 22.067
44.366 1.488 92.498 18.067
43.300 1.963 88.637 16.102
51.045 1.930 98.767 17.070
56.250 1.699 103.165 20.400
144.494 17.599 113.901 114.410
21.037 0.000 109.749 0.000
46.302 1.249 95.999 16.636
50.299 1.230 98.843 44.067
40.140 0.771 93.708 23.036
42.051 1.883 104.876 25.298
33.504 0.000 95.843 0.000
157.378 0.000 113.973 0.000
54.859 0.000 109.283 0.000
44.233 0.000 107.521 0.000
136.712 220.377 115.226 115.569
143.968 65.357 114.594 114.009
41.148 0.000 111.216 0.000
63.527 0.000 109.793 9.586
50.797 2.161 106.605 8.149
35.283 0.000 96.777 9.586
39.329 0.000 97.877 9.586
62.413 0.252 111.708 141.000
35.995 1.017 98.774 12.060
56.531 0.000 109.226 9.586
135.838 1.829 116.150 350.000
84.127 0.000 110.868 9.586
114.063 0.000 112.885 9.586
68.641 0.962 111.236 47.000
66.964 1.260 109.499 26.000
49.520 2.098 106.804 23.841
139.024 219.815 115.149 152.292
43.197 0.000 103.228 9.586
47.672 1.954 104.787 9.229
44.236 1.971 105.546 10.081
34.335 1.786 98.993 19.019
143.604 22.080 116.098 113.716
61.935 0.990 109.001 45.000
35.816 0.577 91.993 23.028
145.826 22.380 116.003 112.766
36.595 1.240 103.949 128.000
131.474 79.420 113.540 113.871
139.447 216.372 114.633 114.677
36.518 0.000 95.602 0.000
138.489 0.975 115.938 18.025
46.911 0.261 112.434 203.000
271.102 1.213 116.521 20.025
247.064 0.000 116.553 0.000
146.415 0.752 114.506 100.000
342.273 1.529 117.146 96.000
64.106 0.000 107.483 9.586
62.492 1.225 109.192 10.032
67.610 0.000 109.797 0.000
64.470 2.696 109.276 147.000
40.960 38.541 98.597 98.797
62.122 1.962 109.083 13.145
297.663 0.000 116.945 9.586
266.378 0.252 116.832 198.000
132.634 208.024 114.440 115.366
36.190 0.000 97.921 9.586
145.012 0.000 114.686 9.586
64.956 0.000 109.650 9.586
85.008 0.000 110.837 9.586
38.277 2.430 100.960 17.260
84.462 1.455 112.443 16.036
37.499 0.252 98.723 286.000
63.473 216.518 109.911 108.999
81.110 2.924 112.771 265.572
110.262 0.000 114.210 9.586
259.442 0.000 116.680 9.586
85.271 207.079 113.045 112.172
59.433 0.252 106.314 421.000
36.399 0.000 96.831 9.586
89.043 0.000 111.315 9.586
134.437 0.000 115.232 0.000
24.377 0.000 50.395 0.000
137.343 0.000 114.135 0.000
139.649 222.434 114.525 115.575
140.067 212.221 115.557 115.628
29.434 1.684 89.400 9.048
50.798 0.000 107.764 0.000
77.413 0.479 111.525 8.015
77.778 129.454 114.236 117.226
60.414 0.000 109.556 0.000
38.867 0.000 101.487 0.000
105.372 0.000 114.072 0.000
55.997 0.000 107.473 0.000
144.874 23.373 115.323 110.718
51.027 1.482 109.166 25.632
126.586 0.516 113.879 46.000
48.316 0.000 106.803 0.000
142.084 1.239 114.139 14.032
67.671 0.252 110.511 48.000
77.005 1.233 112.845 11.365
49.448 0.252 107.663 42.000
45.271 0.000 102.670 0.000
123.265 2.257 113.981 53.000
262.408 0.000 116.730 0.000
128.576 0.000 115.283 0.000
30.603 1.008 94.997 55.000
76.935 0.000 112.702 0.000
143.599 1.271 115.461 307.000
333.265 0.252 117.250 124.000
139.841 162.224 114.915 115.811
53.242 0.000 107.433 0.000
31.489 0.000 88.084 0.000
137.049 36.728 114.893 115.585
83.909 0.000 109.960 0.000
134.854 0.749 115.254 194.000
